structure_id,formula,F,D,P,stoich_F,stoich_D,stoich_P,anion,track,polymorph,bonding_class,ICSD_Status
Gd3Nb2O7__hexagonal,Gd3Nb2O7,Gd,Nb,O,3,2,7,O,strict_ionic,hexagonal,Ionic,Non-ICSD
Gd3Cr2B7__orthorhombic,Gd3Cr2B7,Gd,Cr,B,3,2,7,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Gd3Pt2S7__hexagonal,Gd3Pt2S7,Gd,Pt,S,3,2,7,S,strict_ionic,hexagonal,Ionic,Non-ICSD
Gd3Zr2O7__orthorhombic,Gd3Zr2O7,Gd,Zr,O,3,2,7,O,strict_ionic,orthorhombic,Ionic,Non-ICSD
Gd3Zn2N7__hexagonal,Gd3Zn2N7,Gd,Zn,N,3,2,7,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Gd3Fe2S7__hexagonal,Gd3Fe2S7,Gd,Fe,S,3,2,7,S,strict_ionic,hexagonal,Ionic,Non-ICSD
Gd3Ta5C12__cubic,Gd3Ta5C12,Gd,Ta,C,3,5,12,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Gd3Rh5Se12__cubic,Gd3Rh5Se12,Gd,Rh,Se,3,5,12,Se,strict_ionic,cubic,Ionic,Non-ICSD
Gd3Y5Se12__cubic,Gd3Y5Se12,Gd,Y,Se,3,5,12,Se,strict_ionic,cubic,Ionic,Non-ICSD
Gd3Au5P12__cubic,Gd3Au5P12,Gd,Au,P,3,5,12,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Gd3Y5B12__cubic,Gd3Y5B12,Gd,Y,B,3,5,12,B,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Gd3Mo5C12__cubic,Gd3Mo5C12,Gd,Mo,C,3,5,12,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Gd4Ru3B10__tetragonal,Gd4Ru3B10,Gd,Ru,B,4,3,10,B,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Gd4W3B10__tetragonal,Gd4W3B10,Gd,W,B,4,3,10,B,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Gd4Au3N10__tetragonal,Gd4Au3N10,Gd,Au,N,4,3,10,N,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Gd4Ti3C10__tetragonal,Gd4Ti3C10,Gd,Ti,C,4,3,10,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Gd4Zr3N10__tetragonal,Gd4Zr3N10,Gd,Zr,N,4,3,10,N,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Gd4Pd3S10__tetragonal,Gd4Pd3S10,Gd,Pd,S,4,3,10,S,strict_ionic,tetragonal,Ionic,Non-ICSD
Gd4V3S10__tetragonal,Gd4V3S10,Gd,V,S,4,3,10,S,strict_ionic,tetragonal,Ionic,Non-ICSD
HoIrP__hexagonal,HoIrP,Ho,Ir,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoZnC__tetragonal,HoZnC,Ho,Zn,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
HoYP__hexagonal,HoYP,Ho,Y,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoMnB__hexagonal,HoMnB,Ho,Mn,B,1,1,1,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoScB__hexagonal,HoScB,Ho,Sc,B,1,1,1,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoPtP__hexagonal,HoPtP,Ho,Pt,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoNiP2__tetragonal,HoNiP2,Ho,Ni,P,1,1,2,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
HoRhB2__trigonal,HoRhB2,Ho,Rh,B,1,1,2,B,relaxed_intermetallic,trigonal,Intermetallic,Non-ICSD
HoCuSe2__trigonal,HoCuSe2,Ho,Cu,Se,1,1,2,Se,strict_ionic,trigonal,Ionic,Non-ICSD
HoReN2__trigonal,HoReN2,Ho,Re,N,1,1,2,N,relaxed_intermetallic,trigonal,Intermetallic,Non-ICSD
HoCrC2__trigonal,HoCrC2,Ho,Cr,C,1,1,2,C,relaxed_intermetallic,trigonal,Intermetallic,Non-ICSD
HoMoN2__orthorhombic,HoMoN2,Ho,Mo,N,1,1,2,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoMnC2__orthorhombic,HoMnC2,Ho,Mn,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoVC3__orthorhombic,HoVC3,Ho,V,C,1,1,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoAgO3__trigonal,HoAgO3,Ho,Ag,O,1,1,3,O,strict_ionic,trigonal,Ionic,Non-ICSD
HoHfB3__hexagonal,HoHfB3,Ho,Hf,B,1,1,3,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoMoB3__orthorhombic,HoMoB3,Ho,Mo,B,1,1,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoOsP3__hexagonal,HoOsP3,Ho,Os,P,1,1,3,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoRuB3__trigonal,HoRuB3,Ho,Ru,B,1,1,3,B,relaxed_intermetallic,trigonal,Intermetallic,Non-ICSD
HoTaSe4__cubic,HoTaSe4,Ho,Ta,Se,1,1,4,Se,strict_ionic,cubic,Ionic,Non-ICSD
HoReO4__orthorhombic,HoReO4,Ho,Re,O,1,1,4,O,strict_ionic,orthorhombic,Ionic,Non-ICSD
HoZnP4__cubic,HoZnP4,Ho,Zn,P,1,1,4,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
HoPdSe4__orthorhombic,HoPdSe4,Ho,Pd,Se,1,1,4,Se,strict_ionic,orthorhombic,Ionic,Non-ICSD
HoAuP4__tetragonal,HoAuP4,Ho,Au,P,1,1,4,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
HoScP4__orthorhombic,HoScP4,Ho,Sc,P,1,1,4,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoAu3N2__orthorhombic,HoAu3N2,Ho,Au,N,1,3,2,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoMn3N2__hexagonal,HoMn3N2,Ho,Mn,N,1,3,2,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoRe3B2__hexagonal,HoRe3B2,Ho,Re,B,1,3,2,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoMn3C2__hexagonal,HoMn3C2,Ho,Mn,C,1,3,2,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoTa3P2__orthorhombic,HoTa3P2,Ho,Ta,P,1,3,2,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoW3B2__hexagonal,HoW3B2,Ho,W,B,1,3,2,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
HoCu5C3__orthorhombic,HoCu5C3,Ho,Cu,C,1,5,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoSc5N3__orthorhombic,HoSc5N3,Ho,Sc,N,1,5,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoY5C3__orthorhombic,HoY5C3,Ho,Y,C,1,5,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoCr5P3__orthorhombic,HoCr5P3,Ho,Cr,P,1,5,3,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoV5B3__orthorhombic,HoV5B3,Ho,V,B,1,5,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
HoIr5C3__orthorhombic,HoIr5C3,Ho,Ir,C,1,5,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2AuB3__orthorhombic,Ho2AuB3,Ho,Au,B,2,1,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2NiC3__orthorhombic,Ho2NiC3,Ho,Ni,C,2,1,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2ZrC3__orthorhombic,Ho2ZrC3,Ho,Zr,C,2,1,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2CrP3__orthorhombic,Ho2CrP3,Ho,Cr,P,2,1,3,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2ZrB3__orthorhombic,Ho2ZrB3,Ho,Zr,B,2,1,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2FeP3__orthorhombic,Ho2FeP3,Ho,Fe,P,2,1,3,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2MnC4__orthorhombic,Ho2MnC4,Ho,Mn,C,2,1,4,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2MnC4__tetragonal,Ho2MnC4,Ho,Mn,C,2,1,4,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Ho2CoN4__tetragonal,Ho2CoN4,Ho,Co,N,2,1,4,N,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Ho2MnO4__tetragonal,Ho2MnO4,Ho,Mn,O,2,1,4,O,strict_ionic,tetragonal,Ionic,Non-ICSD
Ho2CrP4__orthorhombic,Ho2CrP4,Ho,Cr,P,2,1,4,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2ZnS4__tetragonal,Ho2ZnS4,Ho,Zn,S,2,1,4,S,strict_ionic,tetragonal,Ionic,Non-ICSD
Ho2OsB6__monoclinic,Ho2OsB6,Ho,Os,B,2,1,6,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2ReB6__monoclinic,Ho2ReB6,Ho,Re,B,2,1,6,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2ScS6__monoclinic,Ho2ScS6,Ho,Sc,S,2,1,6,S,strict_ionic,monoclinic,Ionic,Non-ICSD
Ho2IrP6__monoclinic,Ho2IrP6,Ho,Ir,P,2,1,6,P,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2RhS6__monoclinic,Ho2RhS6,Ho,Rh,S,2,1,6,S,strict_ionic,monoclinic,Ionic,Non-ICSD
Ho2RhSe6__monoclinic,Ho2RhSe6,Ho,Rh,Se,2,1,6,Se,strict_ionic,monoclinic,Ionic,Non-ICSD
Ho2TaS6__monoclinic,Ho2TaS6,Ho,Ta,S,2,1,6,S,strict_ionic,monoclinic,Ionic,Non-ICSD
Ho2Mn2C3__monoclinic,Ho2Mn2C3,Ho,Mn,C,2,2,3,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Ir2B3__monoclinic,Ho2Ir2B3,Ho,Ir,B,2,2,3,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Ni2C3__monoclinic,Ho2Ni2C3,Ho,Ni,C,2,2,3,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2W2B3__monoclinic,Ho2W2B3,Ho,W,B,2,2,3,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Nb2P3__monoclinic,Ho2Nb2P3,Ho,Nb,P,2,2,3,P,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Hf2N3__monoclinic,Ho2Hf2N3,Ho,Hf,N,2,2,3,N,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Zn2N5__orthorhombic,Ho2Zn2N5,Ho,Zn,N,2,2,5,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2Hf2N5__monoclinic,Ho2Hf2N5,Ho,Hf,N,2,2,5,N,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Ta2C5__orthorhombic,Ho2Ta2C5,Ho,Ta,C,2,2,5,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2Cr2N5__orthorhombic,Ho2Cr2N5,Ho,Cr,N,2,2,5,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho2Fe2N5__monoclinic,Ho2Fe2N5,Ho,Fe,N,2,2,5,N,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Cr2B5__monoclinic,Ho2Cr2B5,Ho,Cr,B,2,2,5,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Ti2B5__monoclinic,Ho2Ti2B5,Ho,Ti,B,2,2,5,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Sc2C7__cubic,Ho2Sc2C7,Ho,Sc,C,2,2,7,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho2Zr2B7__cubic,Ho2Zr2B7,Ho,Zr,B,2,2,7,B,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho2Au2C7__cubic,Ho2Au2C7,Ho,Au,C,2,2,7,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho2Cr2B7__monoclinic,Ho2Cr2B7,Ho,Cr,B,2,2,7,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
Ho2Hf2S7__cubic,Ho2Hf2S7,Ho,Hf,S,2,2,7,S,strict_ionic,cubic,Ionic,Non-ICSD
Ho2Ag2S7__cubic,Ho2Ag2S7,Ho,Ag,S,2,2,7,S,strict_ionic,cubic,Ionic,Non-ICSD
Ho2Ir5C2__hexagonal,Ho2Ir5C2,Ho,Ir,C,2,5,2,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Mo5B2__hexagonal,Ho2Mo5B2,Ho,Mo,B,2,5,2,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Cr5N2__hexagonal,Ho2Cr5N2,Ho,Cr,N,2,5,2,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Mo5N2__hexagonal,Ho2Mo5N2,Ho,Mo,N,2,5,2,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Ti5P2__hexagonal,Ho2Ti5P2,Ho,Ti,P,2,5,2,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Pd5P2__hexagonal,Ho2Pd5P2,Ho,Pd,P,2,5,2,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho2Hf5N2__hexagonal,Ho2Hf5N2,Ho,Hf,N,2,5,2,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3PtN5__hexagonal,Ho3PtN5,Ho,Pt,N,3,1,5,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3RhP5__hexagonal,Ho3RhP5,Ho,Rh,P,3,1,5,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3CuS5__hexagonal,Ho3CuS5,Ho,Cu,S,3,1,5,S,strict_ionic,hexagonal,Ionic,Non-ICSD
Ho3CoN5__hexagonal,Ho3CoN5,Ho,Co,N,3,1,5,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3TiP5__hexagonal,Ho3TiP5,Ho,Ti,P,3,1,5,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3ZnC5__hexagonal,Ho3ZnC5,Ho,Zn,C,3,1,5,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3Zn2B7__hexagonal,Ho3Zn2B7,Ho,Zn,B,3,2,7,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3Zr2C7__orthorhombic,Ho3Zr2C7,Ho,Zr,C,3,2,7,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
Ho3Ti2B7__hexagonal,Ho3Ti2B7,Ho,Ti,B,3,2,7,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3Mn2P7__hexagonal,Ho3Mn2P7,Ho,Mn,P,3,2,7,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
Ho3Fe2S7__hexagonal,Ho3Fe2S7,Ho,Fe,S,3,2,7,S,strict_ionic,hexagonal,Ionic,Non-ICSD
Ho3Mo2Se7__hexagonal,Ho3Mo2Se7,Ho,Mo,Se,3,2,7,Se,strict_ionic,hexagonal,Ionic,Non-ICSD
Ho3Pt5P12__cubic,Ho3Pt5P12,Ho,Pt,P,3,5,12,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho3Re5N12__cubic,Ho3Re5N12,Ho,Re,N,3,5,12,N,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho3Hf5N12__cubic,Ho3Hf5N12,Ho,Hf,N,3,5,12,N,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho3Re5P12__cubic,Ho3Re5P12,Ho,Re,P,3,5,12,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho3Sc5C12__cubic,Ho3Sc5C12,Ho,Sc,C,3,5,12,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho3Cr5P12__cubic,Ho3Cr5P12,Ho,Cr,P,3,5,12,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
Ho4Pt3S10__tetragonal,Ho4Pt3S10,Ho,Pt,S,4,3,10,S,strict_ionic,tetragonal,Ionic,Non-ICSD
Ho4Zn3Se10__tetragonal,Ho4Zn3Se10,Ho,Zn,Se,4,3,10,Se,strict_ionic,tetragonal,Ionic,Non-ICSD
Ho4Fe3P10__tetragonal,Ho4Fe3P10,Ho,Fe,P,4,3,10,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Ho4Ag3B10__tetragonal,Ho4Ag3B10,Ho,Ag,B,4,3,10,B,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Ho4Sc3C10__tetragonal,Ho4Sc3C10,Ho,Sc,C,4,3,10,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
Ho4Hf3N10__tetragonal,Ho4Hf3N10,Ho,Hf,N,4,3,10,N,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaMoP__hexagonal,LaMoP,La,Mo,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaCoC__hexagonal,LaCoC,La,Co,C,1,1,1,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaZrC__tetragonal,LaZrC,La,Zr,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaReC__tetragonal,LaReC,La,Re,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaVP__tetragonal,LaVP,La,V,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaIrC__hexagonal,LaIrC,La,Ir,C,1,1,1,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaNbC2__tetragonal,LaNbC2,La,Nb,C,1,1,2,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaHfB2__trigonal,LaHfB2,La,Hf,B,1,1,2,B,relaxed_intermetallic,trigonal,Intermetallic,Non-ICSD
LaMnSe2__trigonal,LaMnSe2,La,Mn,Se,1,1,2,Se,strict_ionic,trigonal,Ionic,Non-ICSD
LaRuSe2__orthorhombic,LaRuSe2,La,Ru,Se,1,1,2,Se,strict_ionic,orthorhombic,Ionic,Non-ICSD
LaRuSe2__tetragonal,LaRuSe2,La,Ru,Se,1,1,2,Se,strict_ionic,tetragonal,Ionic,Non-ICSD
LaCrP2__tetragonal,LaCrP2,La,Cr,P,1,1,2,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
LaNiP3__hexagonal,LaNiP3,La,Ni,P,1,1,3,P,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaFeS3__hexagonal,LaFeS3,La,Fe,S,1,1,3,S,strict_ionic,hexagonal,Ionic,Non-ICSD
LaMoO3__trigonal,LaMoO3,La,Mo,O,1,1,3,O,strict_ionic,trigonal,Ionic,Non-ICSD
LaOsC3__orthorhombic,LaOsC3,La,Os,C,1,1,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaScN3__hexagonal,LaScN3,La,Sc,N,1,1,3,N,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaFeP3__orthorhombic,LaFeP3,La,Fe,P,1,1,3,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaTiP4__orthorhombic,LaTiP4,La,Ti,P,1,1,4,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaMoSe4__orthorhombic,LaMoSe4,La,Mo,Se,1,1,4,Se,strict_ionic,orthorhombic,Ionic,Non-ICSD
LaVC4__cubic,LaVC4,La,V,C,1,1,4,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
LaTiN4__cubic,LaTiN4,La,Ti,N,1,1,4,N,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
LaMnP4__cubic,LaMnP4,La,Mn,P,1,1,4,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
LaCuS4__orthorhombic,LaCuS4,La,Cu,S,1,1,4,S,strict_ionic,orthorhombic,Ionic,Non-ICSD
LaMo3B2__hexagonal,LaMo3B2,La,Mo,B,1,3,2,B,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaZr3P2__orthorhombic,LaZr3P2,La,Zr,P,1,3,2,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaMn3C2__hexagonal,LaMn3C2,La,Mn,C,1,3,2,C,relaxed_intermetallic,hexagonal,Intermetallic,Non-ICSD
LaZn3P2__orthorhombic,LaZn3P2,La,Zn,P,1,3,2,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaAu3P2__orthorhombic,LaAu3P2,La,Au,P,1,3,2,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaCo3B2__orthorhombic,LaCo3B2,La,Co,B,1,3,2,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaCr5C3__orthorhombic,LaCr5C3,La,Cr,C,1,5,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaTa5B3__orthorhombic,LaTa5B3,La,Ta,B,1,5,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaRu5N3__orthorhombic,LaRu5N3,La,Ru,N,1,5,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaOs5P3__orthorhombic,LaOs5P3,La,Os,P,1,5,3,P,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaPd5N3__orthorhombic,LaPd5N3,La,Pd,N,1,5,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
LaPt5N3__orthorhombic,LaPt5N3,La,Pt,N,1,5,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2NbN3__orthorhombic,La2NbN3,La,Nb,N,2,1,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2CoS3__orthorhombic,La2CoS3,La,Co,S,2,1,3,S,strict_ionic,orthorhombic,Ionic,Non-ICSD
La2CoB3__orthorhombic,La2CoB3,La,Co,B,2,1,3,B,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2VS3__orthorhombic,La2VS3,La,V,S,2,1,3,S,strict_ionic,orthorhombic,Ionic,Non-ICSD
La2RuC3__orthorhombic,La2RuC3,La,Ru,C,2,1,3,C,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2YN3__orthorhombic,La2YN3,La,Y,N,2,1,3,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2HfSe4__orthorhombic,La2HfSe4,La,Hf,Se,2,1,4,Se,strict_ionic,orthorhombic,Ionic,Non-ICSD
La2ScP4__tetragonal,La2ScP4,La,Sc,P,2,1,4,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
La2TaP4__tetragonal,La2TaP4,La,Ta,P,2,1,4,P,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
La2ScC4__tetragonal,La2ScC4,La,Sc,C,2,1,4,C,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
La2AgN4__tetragonal,La2AgN4,La,Ag,N,2,1,4,N,relaxed_intermetallic,tetragonal,Intermetallic,Non-ICSD
La2MoSe4__tetragonal,La2MoSe4,La,Mo,Se,2,1,4,Se,strict_ionic,tetragonal,Ionic,Non-ICSD
La2ScN4__orthorhombic,La2ScN4,La,Sc,N,2,1,4,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2TiC6__monoclinic,La2TiC6,La,Ti,C,2,1,6,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2ZrS6__monoclinic,La2ZrS6,La,Zr,S,2,1,6,S,strict_ionic,monoclinic,Ionic,Non-ICSD
La2PtS6__monoclinic,La2PtS6,La,Pt,S,2,1,6,S,strict_ionic,monoclinic,Ionic,Non-ICSD
La2RuSe6__monoclinic,La2RuSe6,La,Ru,Se,2,1,6,Se,strict_ionic,monoclinic,Ionic,Non-ICSD
La2NiC6__monoclinic,La2NiC6,La,Ni,C,2,1,6,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2NbB6__monoclinic,La2NbB6,La,Nb,B,2,1,6,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Ir2C3__monoclinic,La2Ir2C3,La,Ir,C,2,2,3,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Mo2N3__monoclinic,La2Mo2N3,La,Mo,N,2,2,3,N,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Pt2B3__monoclinic,La2Pt2B3,La,Pt,B,2,2,3,B,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Cr2P3__monoclinic,La2Cr2P3,La,Cr,P,2,2,3,P,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Ru2P3__monoclinic,La2Ru2P3,La,Ru,P,2,2,3,P,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Ni2Se3__monoclinic,La2Ni2Se3,La,Ni,Se,2,2,3,Se,strict_ionic,monoclinic,Ionic,Non-ICSD
La2Pd2N5__monoclinic,La2Pd2N5,La,Pd,N,2,2,5,N,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2Mn2Se5__monoclinic,La2Mn2Se5,La,Mn,Se,2,2,5,Se,strict_ionic,monoclinic,Ionic,Non-ICSD
La2V2S5__monoclinic,La2V2S5,La,V,S,2,2,5,S,strict_ionic,monoclinic,Ionic,Non-ICSD
La2Zr2Se5__orthorhombic,La2Zr2Se5,La,Zr,Se,2,2,5,Se,strict_ionic,orthorhombic,Ionic,Non-ICSD
La2V2Se5__monoclinic,La2V2Se5,La,V,Se,2,2,5,Se,strict_ionic,monoclinic,Ionic,Non-ICSD
La2Mn2C5__monoclinic,La2Mn2C5,La,Mn,C,2,2,5,C,relaxed_intermetallic,monoclinic,Intermetallic,Non-ICSD
La2V2N5__orthorhombic,La2V2N5,La,V,N,2,2,5,N,relaxed_intermetallic,orthorhombic,Intermetallic,Non-ICSD
La2Ni2P7__cubic,La2Ni2P7,La,Ni,P,2,2,7,P,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
La2Re2C7__cubic,La2Re2C7,La,Re,C,2,2,7,C,relaxed_intermetallic,cubic,Intermetallic,Non-ICSD
